Patrimonio Liquido;Valor da Cota Liquida;Cota Congelada;Valor da Cota Bruta;Quantidade de Cotas;portfolio-front.export-file.portfolio-view-panel-data.fields.start-date-variation;Variacao Diaria;Variacao Mensal;Variacao Anual;Variacao 6 Meses;Variacao 12 Meses;Contribuicao Total;Contribuicao Erro;Exposicao Total;;;;;;;;;;;;;;;;;;;;;;;;
302.698.176,05;1.181,49;true;1.181,49;256.200,00;0,100874;-0,000913;-0,000913;0,100874;0,100874;0,100874;-0,000913;0;302.698.176,05;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Resumo da Carteira - Informacoes Adicionais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Equities Net.;Net Delta=1;Gross;Gross Delta=1;Long Exp.;Short Exp.;Patrimonio Bruto;Valor da Cota sem Amortizacoes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;302.698.176,05;1.181,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acoes e Recibos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Criptomoedas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Imoveis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acoes, Opcoes e Recibos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ETFs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Opcoes e Direitos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Titulos Privados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Outros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caixa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Id Interno;Moeda;Id da Estrategia;Estrategia;Codigo da Conta;Nome da Conta;Id do Custodiante;Nome do Custodiante;Valor Liquido;PnL (% PL);PnL ($);Id de Origem;Fonte;Criacao;Ultima Atualizacao;% / Total (Liq);;;;;;;;;;;;;;;;;;;;;;
10.412;real;2;Caixa;6;Padrao;;BTG Pactual;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Provisoes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Id Interno;Instrumento (Nome);Id de Categoria de Provisao;Id da Estrategia;Estrategia;Codigo da Conta;Nome da Conta;Moeda;Valor Liquido;Data Liquidacao;Status de Liquidacao;Ultima Atualizacao;Criacao;Id do Instrumento de Origem;Id do Contrato de Origem;Id de Provisao de Origem;PnL (% PL);PnL ($);% / Total (Liq);Valor Liquidado;;;;;;;;;;;;;;;;;;
;outros/nao categorizado;201;2;Caixa;6;Padrao;real;0;;;;;;;;-0,094928;-287.606,87;0;0;;;;;;;;;;;;;;;;;;
;ajuste de PL;204;1;Padrao;6;Padrao;real;-0,01;;;;;;;;0;-0,01;0;0;;;;;;;;;;;;;;;;;;
;taxa de gestao;105;2;Caixa;6;Padrao;real;-302.744,06;;;;;;;;-0,004996;-15.137,20;-0,100015;0;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aplicacoes e Resgates a Cotizar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Id Interno;Data de Cotizacao;Valor;Cotizada?;Nº de Cotas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ativos com Vencimento Proximo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Id Interno;Nome;Data Vencimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
